source_port,destination_port,protocol,packet_count,total_bytes,duration,packet_rate,average_packet_size,bytes_per_second
51286,443,6,2,180,1.453464,1.3760230731548906,90.0,123.84207658394016
44450,29810,17,1,872,0.001,1000.0,872.0,872000.0
443,50750,6,4,591,2.067129,1.935050981336917,147.75,285.9037824925295
50750,443,6,4,264,2.067461,1.9347402441932398,66.0,127.69285611675382
51260,443,6,1,90,0.001,1000.0,90.0,90000.0
5353,5353,17,1,119,0.001,1000.0,119.0,119000.0
5353,5353,17,1,119,0.001,1000.0,119.0,119000.0
50846,443,6,2,175,0.175521,11.394647933865462,87.5,997.031694213228
443,50846,6,2,172,0.101786,19.649067651739923,86.0,1689.8198180496336
51259,443,6,10,13486,0.002394,4177.109440267335,1348.6,5633249.791144528
51287,443,6,14,7023,0.88064,15.897529069767442,501.64285714285717,7974.881904069767
443,51259,6,7,486,0.00234,2991.4529914529912,69.42857142857143,207692.3076923077
443,51287,6,7,7203,0.604271,11.584206423938928,1029.0,11920.148410233156
47584,47584,17,5,415,0.002747,1820.1674554058975,83.0,151073.89879868948
47584,47584,17,1,83,0.001,1000.0,83.0,83000.0
51282,443,6,1,90,0.001,1000.0,90.0,90000.0
51288,443,6,3,727,0.272733,10.999769004850897,242.33333333333334,2665.610688842201
51289,443,6,3,727,0.27237,11.014428901861438,242.33333333333334,2669.1632705510888
51290,443,6,3,727,0.271745,11.03976154115071,242.33333333333334,2675.3022134721887
51291,443,6,3,727,0.271941,11.031804692929716,242.33333333333334,2673.374003919968
51292,443,6,3,727,0.303692,9.878429461428025,242.33333333333334,2393.872739486058
51293,443,6,3,727,0.272611,11.004691666880648,242.33333333333334,2666.8036139407436
51294,443,6,3,727,0.283906,10.566877769402549,242.33333333333334,2560.706712785218
51295,443,6,2,144,0.311993,6.410400233338568,72.0,461.5488168003769
51296,443,6,1,78,0.001,1000.0,78.0,78000.0
51297,443,6,2,144,0.312024,6.409763351537061,72.0,461.50296131066835
443,51290,6,1,74,0.001,1000.0,74.0,74000.0
443,51291,6,1,74,0.001,1000.0,74.0,74000.0
443,51289,6,1,74,0.001,1000.0,74.0,74000.0
443,51288,6,1,74,0.001,1000.0,74.0,74000.0
443,51293,6,1,74,0.001,1000.0,74.0,74000.0
443,51294,6,1,74,0.001,1000.0,74.0,74000.0
443,51292,6,1,74,0.001,1000.0,74.0,74000.0
443,51295,6,1,74,0.001,1000.0,74.0,74000.0
443,51297,6,1,74,0.001,1000.0,74.0,74000.0
