Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,7749452.0,16,16,960,2158,66,54,60.0,6.0,392,66,134.875,102.67112240060493,402.35103075675545,4.1293242412495745,249982.32258064515,330893.28093719255,1446367.0,92.0,7671821.0,511454.73333333334,380354.3816858986,1527138.0,43457.0,7668595.0,511239.6666666667,342284.49989361514,1446367.0,43523.0,0,8,0,0,736,832,2.0646621206247873,2.0646621206247873,54,392,97.4375,81.79392455280527,6690.24609375,0,0,0,8,32,0,0,0,1.0,97.4375,60.0,134.875,736,0,0,0,0,0,0,16,960,16,2158,2048,16,16,40,1738645.6666666667,224201.95745849816,1929557.0,1423954.0,1266757.5,179609.5,1446367.0,1087148.0
443,363376.0,1,1,54,66,54,54,54.0,0,66,66,66.0,0,330.23644929769716,5.503940821628286,363376.0,0,363376.0,363376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,2.751970410814143,2.751970410814143,54,66,60.0,6.0,36.0,0,0,0,0,2,0,0,0,1.0,60.0,54.0,66.0,40,0,0,0,0,0,0,1,54,1,66,2048,76,1,40,363376.0,0,363376.0,363376.0,0,0,0,0
443,3236366.0,6,4,3739,363,1494,66,623.1666666666666,625.1838174133712,165,66,90.75,42.868257487329714,1267.4709844313036,3.089885383791574,359596.22222222225,754846.048155042,2439375.0,93.0,2727169.0,545433.8,1090437.102389936,2726308.0,138.0,2949346.0,983115.3333333334,1050552.0292133188,2439375.0,93.0,3,1,0,0,312,208,1.8539312302749442,1.2359541535166294,66,1494,410.2,550.708779664897,303280.16000000003,0,0,0,4,10,0,0,0,0.6666666666666666,410.2,623.1666666666666,90.75,312,0,0,0,0,0,0,6,3739,4,363,2048,16388,6,52,398495.5,111382.5,509878.0,287113.0,2439375.0,0,2439375.0,2439375.0
5353,5323442.0,8,0,1059,0,167,82,132.375,26.98581803466406,0,0,0,0,198.93144322789655,1.502787106537462,760491.7142857143,1149855.1965065259,3378657.0,307.0,5323442.0,760491.7142857143,1149855.1965065259,3378657.0,307.0,0,0,0,0,0,0,0,0,0,160,0,1.502787106537462,0.0,82,167,132.375,26.98581803466406,728.234375,0,0,0,0,0,0,0,0,0.0,132.375,132.375,0,160,0,0,0,0,0,0,8,1059,0,0,0,0,8,20,462606.5,458668.5,921275.0,3938.0,2199114.5,1179542.5,3378657.0,1019571.9999999999
29810,0.0,1,0,871,0,871,871,871.0,0,0,0,0,0,871000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,871,871,871.0,0,0,0,0,0,0,0,0,0,0,0.0,871.0,871.0,0,20,0,0,0,0,0,0,1,871,0,0,0,0,1,20,0,0,0,0,0,0,0,0
57621,0.0,1,0,82,0,82,82,82.0,0,0,0,0,0,82000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,82,82,82.0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0,20,0,0,0,0,0,0,1,82,0,0,0,0,1,20,0,0,0,0,0,0,0,0
443,491279.0,3,3,229,238,109,54,76.33333333333333,23.612614331233114,106,66,79.33333333333333,18.856180831641264,950.5800166504165,12.21301948587259,98255.8,85459.71673344115,255655.00000000003,292.0,425799.0,212899.5,42755.500000000015,255655.00000000003,170144.0,425271.0,212635.5,108791.5,321427.0,103844.0,1,1,0,0,144,156,6.106509742936295,6.106509742936295,54,109,77.83333333333333,21.419746860211855,458.8055555555556,0,0,0,2,6,0,0,0,1.0,77.83333333333333,76.33333333333333,79.33333333333333,144,0,0,0,0,0,0,3,229,3,238,2048,1039,3,40,491279.0,0,491279.0,491279.0,0,0,0,0
29810,0.0,1,0,874,0,874,874,874.0,0,0,0,0,0,874000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,874,874,874.0,0,0,0,0,0,0,0,0,0,0,0.0,874.0,874.0,0,20,0,0,0,0,0,0,1,874,0,0,0,0,1,20,0,0,0,0,0,0,0,0
53434,73656.0,4,4,327,264,105,66,81.75,16.618889854620253,66,66,66.0,0.0,8023.786249592701,108.6130118388183,10522.285714285714,25450.904770413432,72864.0,114.0,73656.0,24552.0,34510.35092065374,73357.0,128.0,352.0,117.33333333333333,4.027681991198198,123.00000000000001,114.0,2,0,0,0,208,208,54.30650591940915,54.30650591940915,66,105,73.875,14.146002085395011,200.109375,2,0,0,2,8,0,1,0,1.0,73.875,81.75,66.0,208,0,0,0,0,0,0,4,327,4,264,145,2048,4,52,73656.0,0,73656.0,73656.0,0,0,0,0
5353,0.0,1,0,107,0,107,107,107.0,0,0,0,0,0,107000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,107,107,107.0,0,0,0,0,0,0,0,0,0,0,0.0,107.0,107.0,0,20,0,0,0,0,0,0,1,107,0,0,0,0,1,20,0,0,0,0,0,0,0,0
